;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;Q;R;S;T
A;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;7;0
B;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;0;36
D;0;0;0;0;7;7;0;36;0;1;0;0;0;0;0;0;0;0;0;0
E;0;0;0;7;0;3;0;0;0;36;0;3;0;0;0;0;0;0;0;0
F;0;0;0;7;3;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
G;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0
H;0;0;0;36;0;7;1;0;0;0;0;0;1;0;0;0;0;0;0;0
I;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
J;0;0;0;1;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
K;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0
L;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0
N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0
O;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;11;0;0
P;1;0;0;0;0;0;0;0;0;0;36;0;0;3;1;0;0;1;3;0
Q;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;0;0;0;0
S;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
T;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0
